"","Month","Longitude","Latitude","Location","Crime type","City-Town-Village","Population"
"318810","2016-12",-5.938546,54.580622,"Malone Road","VISO","BELFAST",232
"343190","2017-03",-5.899868,54.596382,"Glenallen Street","ASBO","BELFAST",232
"37656","2015-04",-6.0354,54.514533,"Wesley Street","ASBO","Other Town",NA
"189088","2016-03",-6.552371,54.378827,"Sleepy Valley","ASBO","Other Town",NA
"246644","2016-07",-5.938228,54.619962,"Antrim Road","CDAR","Other Town",NA
"378452","2017-05",-7.330597,55.028289,"Galliagh Park","DRUG","Other Town",NA
"404418","2017-07",-6.789438,54.766591,NA,"CDAR",NA,NA
"15556","2015-02",-6.219856,54.805602,"Fernisky Court","BURG","KELLS",NA
"237813","2016-06",-5.957155,54.587713,NA,"VISO",NA,NA
"301748","2016-11",-6.267382,54.354577,"Mountview Drive","CDAR","Other Town",NA
"102354","2015-08",-6.67235,54.845805,"Coleraine Road","OTTH","Other Town",NA
"123749","2015-10",-5.895222,54.208655,"Slievenamaddy Avenue","ASBO","NEWCASTLE",333
"301811","2016-11",-5.9336,54.5946,"Amelia Street","CDAR","BELFAST",232
"373199","2017-05",-5.937762,54.611437,"Kinnaird Terrace","ASBO","BELFAST",232
"86337","2015-07",-5.875407,54.606413,"Palmerston Road","CDAR","BELFAST",232
"147369","2015-11",-6.019175,54.533235,"River Road","VISO","Other Town",NA
"184469","2016-02",-6.399734,54.192884,"Church View","VISO","Other Town",NA
"372981","2017-05",-5.62611,54.661893,"Towerview Crescent","ASBO","BANGOR",318
"160249","2015-12",-6.328232,54.469693,"Antrim Close","VISO","Other Town",NA
"212927","2016-05",-5.81896,54.714516,"Westmount Avenue","ASBO","CARRICKFERGUS",198
"51535","2015-05",-5.930439,54.592551,"Bankmore Street","ASBO","BELFAST",232
"12405","2015-02",-5.708409,54.594839,NA,"ASBO",NA,NA
"317587","2016-12",-5.908806,54.675254,"Princes Crescent","VISO","NEWTOWNABBEY",67
"134727","2015-10",-5.937639,54.584479,"Elmwood Avenue","VISO","BELFAST",232
"160265","2015-12",-5.963972,54.619742,"Berwick Road","VISO","BELFAST",232
"16893","2015-02",-7.312428,54.613559,"Dunbreen Close","CDAR","OMAGH",167
"148710","2015-11",-5.943291,54.632547,"Salisbury Gardens","VISO","BELFAST",232
"234949","2016-06",-6.806164,54.543872,NA,"OTTH",NA,NA
"281818","2016-10",-6.371259,54.188387,"John F Kennedy Park","ASBO","Other Town",NA
"399600","2017-07",-6.272783,54.345023,"Newry Road","ASBO","Other Town",NA
"288846","2016-10",-5.900508,54.108332,"Kilkeel Road","CDAR","Other Town",NA
"4751","2015-01",-6.521676,54.07915,"Cortreasla Road","BURG","SILVERBRIDGE",62
"220364","2016-05",-6.683226,54.53619,"Washingbay Road","CDAR","Other Town",NA
"344237","2017-03",-5.54133,54.643559,"Moat Street","ASBO","Other Town",NA
