"","Organisation name","Sub-building Name","Building Name","Number","Primary Thorfare","Alt Thorfare","Secondary Thorfare","Locality","Townland","Town","County","Postcode","x-coordinates","y-coordinates","Primary Key"
"820954",NA,NA,NA,"13","RUSHIE PARK","P핱RC NA LUACHRA",NA,NA,"DRUMSURN UPPER","LIMAVADY","LONDONDERRY","BT490LS",272059,417375,820954
"821078",NA,NA,NA,"26C","BENONE AVENUE",NA,NA,NA,"BENONE","LIMAVADY","LONDONDERRY","BT490LQ",271348,435767,821078
"821085",NA,NA,NA,"9","GLENMILL PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RS",267645,421986,821085
"821122",NA,NA,NA,"184","MEADOWVALE PARK",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490SL",268380,421932,821122
"821152",NA,NA,NA,"6","ALEXANDER ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490BW",267341,423376,821152
"821275",NA,NA,NA,"150","BARANAILT ROAD",NA,NA,NA,"DRUMRAIGHLAND","LIMAVADY","LONDONDERRY","BT499LT",264222,419491,821275
"821404",NA,NA,NA,"60","GREYSTONE PARK",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490EQ",267565,422424,821404
"821551",NA,NA,NA,"45","CATHERINE STREET",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DA",266969,422996,821551
"822184",NA,NA,NA,"7A","MILL PLACE",NA,NA,NA,"KILLANE","LIMAVADY","LONDONDERRY","BT490BJ",267292,423521,822184
"822515",NA,NA,NA,"9A","KNOCKANBAAN",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UL",268600,422700,822515
"822858",NA,NA,NA,"31","SPERRIN ROAD",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT490AS",267483,422449,822858
"822864","UNITED SERVICES CLUB",NA,NA,"6","ROE MILL ROAD",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499DF",266920,422887,822864
"822867",NA,NA,NA,"9","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",269013,422347,822867
"822868",NA,NA,NA,"62","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UB",269013,422501,822868
"822875",NA,NA,NA,"45","WHISPERING PINES",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UF",269106,422518,822875
"822890",NA,NA,NA,"37","MOUNT EDEN",NA,NA,NA,"ENAGH","LIMAVADY","LONDONDERRY","BT490RP",268445,421915,822890
"822892",NA,NA,NA,"94","BROIGHTER ROAD",NA,NA,NA,"BROIGHTER","LIMAVADY","LONDONDERRY","BT499DY",264740,425679,822892
"822935",NA,NA,NA,"8","JOSEPHINE TERRACE",NA,NA,NA,"NEWTOWN LIMAVADY ALIAS RATHBRADY BEG","LIMAVADY","LONDONDERRY","BT499AY",267192,422342,822935
"822936",NA,NA,NA,"18","DRUMCEATT PARK",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT499HE",267225,421843,822936
"822937",NA,NA,NA,"36","SCROGGY ROAD",NA,NA,NA,"RATHBRADY MORE","LIMAVADY","LONDONDERRY","BT490NA",267835,422866,822937
"822963",NA,NA,NA,"24","SPALLAN ROAD",NA,NA,NA,"BALLYSPALLAN","LIMAVADY","LONDONDERRY","BT499DT",263661,423311,822963
"822964",NA,NA,NA,"144","BALLYQUIN ROAD",NA,NA,NA,"TERRYDREMONT NORTH","LIMAVADY","LONDONDERRY","BT499EZ",268803,419219,822964
"823905",NA,NA,NA,"63","NEWTON ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490UD",268617,422754,823905
"823941",NA,NA,NA,"17","BEECH ROAD",NA,NA,NA,"DRUMSURN LOWER","LIMAVADY","LONDONDERRY","BT490PR",272030,417227,823941
"824018",NA,NA,NA,"2","COLLEGE MEWS",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490UT",267569,422376,824018
"824033",NA,NA,NA,"15","COLLEGE COURT",NA,NA,NA,"COOLESSAN","LIMAVADY","LONDONDERRY","BT490UR",267518,422339,824033
"824042","HOME POINT",NA,"UNIT 4",NA,"GREYSTONE ROAD",NA,NA,NA,"BOVALLY","LIMAVADY","LONDONDERRY","BT490PB",268629,423081,824042
